th,Se,Sp,PPV,NPV,F1,Youden,TP,FP,FN,TN
0.05,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.06,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.07,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.08,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.09,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.1,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.11,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.12,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.13,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.14,0.9999999999999959,0.0,0.27531285551763335,0.0,0.431757359500446,-4.107825191113079e-15,242,637,0,0
0.15,0.9999999999999959,0.001569858712715853,0.2756264236902047,0.9999999999989999,0.43214285714285716,0.001569858712711758,242,636,0,1
0.16,0.9999999999999959,0.006279434850863412,0.27657142857142825,0.99999999999975,0.4333034914950761,0.006279434850859245,242,633,0,4
0.17,0.9958677685950372,0.023547880690737797,0.2792584009269985,0.9374999999999415,0.43619909502262444,0.019415649285775105,241,622,1,15
0.18,0.9834710743801612,0.04395604395604388,0.28099173553718976,0.8749999999999726,0.43709825528007346,0.027427118336205147,238,609,4,28
0.19,0.9752066115702439,0.07064364207221338,0.28502415458937164,0.8823529411764532,0.4411214953271028,0.045850253642457206,236,592,6,45
0.2,0.9628099173553679,0.1036106750392463,0.2898009950248753,0.8799999999999883,0.44550669216061184,0.06642059239461418,233,571,9,66
0.21,0.9545454545454506,0.1302982731554158,0.2942675159235665,0.882978723404246,0.4498539435248296,0.08484372770086646,231,554,11,83
0.22,0.9462809917355333,0.16483516483516458,0.300919842312746,0.8898305084745688,0.45663010967098705,0.11111615657069773,229,532,13,105
0.23,0.9338842975206573,0.213500784929356,0.31086657496561165,0.8947368421052573,0.4664602683178535,0.14738508245001336,226,501,16,136
0.24,0.9338842975206573,0.2401883830455255,0.3183098591549291,0.9053254437869769,0.47478991596638653,0.17407268056618275,226,484,16,153
0.25,0.9256198347107399,0.26530612244897916,0.3236994219653174,0.9037433155080166,0.4796573875802998,0.19092595715971905,224,468,18,169
0.26,0.9090909090909054,0.2967032967032962,0.32934131736526895,0.8957345971563939,0.4835164835164835,0.2057942057942017,220,448,22,189
0.27,0.9008264462809881,0.3406593406593401,0.3416927899686515,0.9004149377593323,0.4954545454545455,0.24148578694032818,218,420,24,217
0.28,0.8760330578512361,0.37205651491365715,0.34640522875816937,0.8876404494381989,0.4964871194379391,0.2480895727648933,212,400,30,237
0.29,0.8595041322314014,0.41287284144426933,0.35738831615120215,0.8855218855218825,0.5048543689320388,0.2723769736756707,208,374,34,263
0.3,0.8305785123966908,0.4474097331240181,0.3634719710669071,0.8742331288343531,0.5056603773584906,0.2779882455207088,201,352,41,285
0.31,0.8223140495867735,0.46938775510204006,0.3705772811918056,0.8742690058479506,0.5109114249037228,0.29170180468881357,199,338,43,299
0.32,0.8099173553718975,0.502354788069073,0.38206627680311817,0.8743169398907079,0.519205298013245,0.3122721434409703,196,317,46,320
0.33,0.8057851239669388,0.5227629513343791,0.39078156312625173,0.8763157894736818,0.5263157894736842,0.3285480753013179,195,304,47,333
0.34,0.7933884297520628,0.544740973312401,0.39834024896265474,0.8740554156171262,0.5303867403314917,0.33812940306446393,192,290,50,347
0.35,0.7727272727272696,0.5871271585557291,0.4155555555555546,0.8717948717948697,0.5404624277456648,0.35985443128299854,187,263,55,374
0.36,0.7520661157024763,0.6012558869701717,0.41743119266054945,0.8645598194130906,0.5368731563421829,0.353322002672648,182,254,60,383
0.37,0.7396694214876003,0.6169544740973303,0.4231678486997626,0.861842105263156,0.5383458646616541,0.3566238955849306,179,244,63,393
0.38,0.7355371900826416,0.6357927786499205,0.4341463414634136,0.863539445628996,0.5460122699386503,0.37132996873256197,178,232,64,405
0.39,0.7107438016528896,0.6546310832025107,0.4387755102040805,0.8562628336755629,0.5425867507886435,0.3653748848554004,172,220,70,417
0.4,0.6983471074380136,0.6703296703296693,0.4459102902374658,0.8539999999999982,0.5442834138486312,0.36867677776768293,169,210,73,427
